Original Name,New Name
31_Golden.Wedding.E22.2007.WEBRip.1080p.x265.10bit.AAC-HDCTV.mkv,00000000.mkv
322_Greys.Anatomy.S13E19.2016.Disney+.WEB-DL.1080p.H264.DDP-HDCTV.mkv,00000001.mkv
256_Crime.Scene.Investigation.S12E07.Brain.Doe.mp4,00000002.mp4
280_Reply.1988.2015.E16.BluRay.1080p.x264.DTS-HDChina.mkv,00000003.mkv
343_Family.Outing.S01E72.1080p.WEB-DL.AAC2.0.H.264-Taengoo.mkv,00000004.mkv
101_marvels.agents.of.s.h.i.e.l.d.s01e14.1080p.bluray.x264-rovers.mkv,00000005.mkv
104_[龙的传人]Legend.of.the.Dragon.1990.BluRay.1080p.x265.10bit.2Audio.BOBO.mkv,00000006.mkv
100_Law.and.Order.Special.Victims.Unit.S06E15.Hooked.1080p.AMZN.WEBRip.DD2.0.x264-NTb.mkv,00000007.mkv
103_大宋提刑官.Judge.of.Song.Dynasty.2005.E05.V2.WEB-DL.1080p.H264.AAC-HDSWEB.mp4,00000008.mp4
27_赢钱专家.Money.Maker.1991.TVRip.2Audios.mp4,00000009.mp4
316_Alias.S01E10.1080p.WEB-DL.DD5.1.H.264-KiNGS.mkv,00000010.mkv
336_Shameless.U.S.S05E05.Rite.of.Passage.1080p.Netflix.WEB-DL.DDP.5.1.H.264-HHWEB.mkv,00000011.mkv
259_BBC.Frozen.Planet.EP01.2011.BluRay.Repack.1080p.MultiAudio.DTS-HD.MA.5.1.x264-beAst.mkv,00000012.mkv
329_Love.Song.for.Illusion.S01E16.2024.1080p.WEB-DL.AAC.H264-JKCT.mkv,00000013.mkv
109_Agents.of.S.H.I.E.L.D.S03E14.2015.Disney+.WEB-DL.1080p.H264.DDP-AREY.mkv,00000014.mkv
118_White.Collar.S03E02.Where.Theres.a.Will.1080p.Amazon.WEB-DL.DD+5.1.x264-QOQ.mkv,00000015.mkv
106_Monk.S04E05.Mr.Monk.Gets.Drunk.1080p.AMZN.WEB-DL.DD+5.1.x264-AJP69.mkv,00000016.mkv
112_Ghost.Whisperer.S02E22.1080p.AMZN.WEBRip.DD5.1.H.264.mkv,00000017.mkv
268_Mother.of.Mine.S01E96.Mother.of.Mine.1080p.AMZN.WEB-DL.DDP2.0.H.264-ShiNobi.mkv,00000018.mkv
253_Parks.and.Recreation.S03E16.Lil.Sebastian.1080p.AMZN.WEB-DL.DD+5.1.H.265-SiGMA.mkv,00000019.mkv
361_Stargate SG-1 S02 E14 BluRay 10Bit 1080p AC3 HEVC-d3g.mkv,00000020.mkv
113_Delicious.So.Much.2021.S01E060.1080p.KKTV.WEB-DL.H264.AAC-YingWEB.mkv,00000021.mkv
121_Modern.Family.S03E12.Egg.Drop.1080p.BluRay.REMUX.AVC.DTS-HD.MA.5.1-EPSiLON.mkv,00000022.mkv
102_Mr.Robot - S04 - EP. 08 - 408 Request Timeout.mkv,00000023.mkv
248_Animal.Fight.Night.S05E05.Release.the.Beast.1080p.AMZN.WEB-DL.DD+5.1.H.264-Cinefeel.mkv,00000024.mkv
332_Weeds.S08E04.Only.Judy.Can.Judge.1080p.DTS-HD.MA.7.1.AVC.REMUX-FraMeSToR.mkv,00000025.mkv
292_Queer.as.Folk.US.S04E06.Death.In.the.Family.1080p.AMZN.WEB-DL.DDP5.1.x264-NTb.mkv,00000026.mkv
266_九龙城寨.Kowloon.Walled.City.2021.1080p.WEB-DL.H265.AAC-OurTV.mp4,00000027.mp4
272_Young.Lady.and.Gentleman.S01E03.1080p.WEB-DL.H264.AAC-AppleTor.mp4,00000028.mp4
286_Preacher.S01E09.Finish.The.Song.1080p.AMZN.WEB-DL.DD+5.1.H.264-MeSeY.mkv,00000029.mkv
135_The.Flash.S03E23.2016.NF.WEB-DL.1080p.x264.DDP-NTb.mkv,00000030.mkv
357_House.S02E20.720p.BluRay.DTS.x264-DON.mkv,00000031.mkv
129_Good.Luck.Charlie.S02E29.1080p.WEB-DL.DD+.5.1.x264-TrollHD.mkv,00000032.mkv
126_El senor de los Cielos S02E49 Susto 1080p Netflix WEB-DL DD+ 2.0 x264-TrollHD.mkv,00000033.mkv
